iter	RMSE
0	0.3836051496
1	0.3768083321
2	0.3700531803
3	0.3636160108
4	0.3572535039
5	0.3509596791
6	0.3448573457
7	0.3391865925
8	0.3330628543
9	0.3280073529
10	0.3225738932
11	0.3173685776
12	0.3120344856
13	0.3071708025
14	0.3021798297
15	0.2973625284
16	0.2929828247
17	0.2882931241
18	0.2838730267
19	0.2796121399
20	0.2757926997
21	0.2717022319
22	0.2676143818
23	0.2640164512
24	0.2602460175
25	0.2563358348
26	0.2528601288
27	0.2495230965
28	0.2464611857
29	0.243500802
30	0.2404946629
31	0.2374194265
32	0.234461888
33	0.2317466523
34	0.2291488047
35	0.2262975401
36	0.2235783872
37	0.2212092522
38	0.2190523251
39	0.2166765652
40	0.2144565839
41	0.2126923865
42	0.2103804246
43	0.2082321958
44	0.2060178256
45	0.2039179612
46	0.2019544285
47	0.1997991784
48	0.1976836172
49	0.1958187806
50	0.1938417811
51	0.1919813388
52	0.1903066988
53	0.1886691364
54	0.187090684
55	0.1855551135
56	0.1839532483
57	0.1823750371
58	0.1812291314
59	0.1798144232
60	0.1785867458
61	0.1771998773
62	0.1759595931
63	0.1747189128
64	0.1734463544
65	0.1722710778
66	0.1711625532
67	0.1698169533
68	0.1688123633
69	0.1679016531
70	0.167000924
71	0.1659127261
72	0.1648520559
73	0.1637476708
74	0.1626333375
75	0.1614671103
76	0.1606608332
77	0.1597983069
78	0.1587950118
79	0.1578356373
80	0.157068254
81	0.1560640514
82	0.1553350425
83	0.1546836043
84	0.1538855852
85	0.1531774774
86	0.1523596394
87	0.1515119245
88	0.1507669492
89	0.1500972595
90	0.1495338963
91	0.1488586815
92	0.1482047791
93	0.1474813058
94	0.1468519661
95	0.1462641703
96	0.1456497302
97	0.1450633709
98	0.1445570934
99	0.143961403
100	0.143343922
101	0.1428211717
102	0.1423485963
103	0.141988935
104	0.1415128775
105	0.1410157422
106	0.1404970139
107	0.1401754162
108	0.1396610666
109	0.139296612
110	0.1388612867
111	0.1384683081
112	0.1381031945
113	0.1377846607
114	0.1373552615
115	0.1369615969
116	0.1365628944
117	0.1362157248
118	0.135875736
119	0.1355088689
120	0.1351561516
121	0.134919235
122	0.1346308888
123	0.1342388011
124	0.1340007739
125	0.1336850248
126	0.1333212112
127	0.1330535833
128	0.1328093221
129	0.1325012872
130	0.132180194
131	0.1318834453
132	0.1315490309
133	0.1311390737
134	0.1307275589
135	0.1304859988
136	0.1302056742
137	0.1299414232
138	0.1297182426
139	0.1294112605
140	0.1291507433
141	0.1289416642
142	0.1286990026
143	0.1284794625
144	0.1281769401
145	0.1279756756
146	0.1277132484
147	0.1274603148
148	0.1272186775
149	0.1270912848
150	0.1269107543
151	0.1267220624
152	0.1264652175
153	0.1262044466
154	0.125958524
155	0.1257583472
156	0.1255386616
157	0.1253225679
158	0.1251218378
159	0.124930422
160	0.124783587
161	0.1246695728
162	0.1245250076
163	0.1243564569
164	0.1242117516
165	0.1240610827
166	0.1238824783
167	0.1237441163
168	0.1234886611
169	0.1233226179
170	0.1231206301
171	0.1229776843
172	0.122762299
173	0.1225501305
174	0.1223660611
175	0.1222229103
176	0.1220321646
177	0.1217633715
178	0.1216291096
179	0.1214828637
180	0.121336935
181	0.1211055102
182	0.1209027959
183	0.1207085955
184	0.1205788341
185	0.120455261
186	0.1202681553
187	0.1200602158
188	0.1199100049
189	0.1197651116
190	0.1196414685
191	0.1194985861
192	0.1193302859
